outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,22,7.1045825452866875,6.124651805552507,8.084513285020869
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,23,7.56115815548509,6.877756750368003,8.244559560602177
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,23,8.137954971899852,7.269514956683045,9.006394987116659
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,23,5.3378712159382475,2.2039626571280957,8.471779774748398
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,23,8.545319541359966,4.5099098677958045,12.580729214924126
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,23,7.836214082662565,7.113992461511716,8.558435703813414
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,23,8.630712134395607,5.442238635719434,11.81918563307178
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,23,6.758860940874278,3.908329496899684,9.609392384848872
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,23,7.150440476183344,6.165376176943869,8.13550477542282
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,24,7.538464254938888,6.8927816211982424,8.184146888679534
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,24,8.054435509957047,7.235556235510861,8.873314784403233
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,24,5.517619133608044,2.6511029540852284,8.384135313130859
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,24,8.466135519979444,4.628207231902357,12.304063808056531
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,24,7.807017077461214,7.115834019841814,8.498200135080614
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,24,8.573028646767971,5.581621565098333,11.56443572843761
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,24,6.833165300318516,4.131416165844746,9.534914434792286
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,24,7.1941864815651675,6.197103046791856,8.191269916338479
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,25,7.516249960868507,6.906585676572456,8.125914245164559
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,25,7.974032153513061,7.200325925297853,8.747738381728269
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,25,5.690621586321097,3.076952167691204,8.30429100495099
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,25,8.388399390807256,4.743337780577944,12.033461001036567
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,25,7.778339813496389,7.1159195681708916,8.440760058821887
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,25,8.517075774151335,5.716129224047333,11.318022324255338
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,25,6.904892628831798,4.347913110415019,9.461872147248576
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,25,7.235820561432158,6.2212742568806245,8.250366865983692
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,26,7.494515273273945,6.919129822769199,8.06990072377869
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,26,7.896744902567893,7.163738435149392,8.629751369986394
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,26,5.856878574077405,3.480880978938186,8.232876169216624
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,26,8.312111153843402,4.855274052568225,11.76894825511858
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,26,7.750182290768085,7.114272244571509,8.38609233696466
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,26,8.462853516545694,5.845709946363343,11.079997086728046
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,26,6.974042926414126,4.557790123603031,9.39029572922522
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,26,7.275342715784314,6.239269008581918,8.31141642298671
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,27,7.473260192155201,6.930371166593869,8.016149217716531
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,27,7.822573757121542,7.125738145965754,8.51940936827733
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,27,6.016390096876968,3.862108956788372,8.170671236965564
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,27,8.23727080908788,4.963980860506153,11.510560757669609
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,27,7.722544509276303,7.110929364847867,8.334159653704738
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,27,8.410361873951048,5.970299093313544,10.850424654588553
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,27,7.040616193065497,4.761011819574867,9.320220566556127
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,27,7.312752944621636,6.252344730742511,8.37316115850076
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,28,7.452484717512276,6.940264238860872,7.96470519616368
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,28,7.751518717174007,7.086312349595511,8.416725084752503
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,28,6.1691561547197855,4.219675229133499,8.118637080306073
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,28,8.163878356540692,5.069417048630461,11.258339664450924
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,28,7.695426469021043,7.105944845622585,8.2849080924195
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,28,8.359600846367398,6.08982147915991,10.629380213574889
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,28,7.104612428785912,4.9575366933843945,9.25168816418743
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,28,7.348051247944124,6.2616126921727435,8.434489803715504
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,29,7.432188849345172,6.9487601873056555,7.915617511384688
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,29,7.683579782725291,7.045504149661359,8.321655415789222
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,29,6.31517674760586,4.55241542231405,8.07793807289767
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,29,8.09193379620184,5.171536655559171,11.012330936844508
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,29,7.668828170002306,7.099388848657064,8.238267491347548
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,29,8.310570433794743,6.204186989264638,10.416953878324849
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,29,7.166031633575372,5.14731722998508,9.184746037165665
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,29,7.381237625751778,6.2680267874519915,8.494448464051564
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,30,7.412372587653887,6.955809186770146,7.868935988537627
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,30,7.618756953775391,7.003423930711689,8.234089976839094
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,30,6.454451875535189,4.858958777344475,8.049944973725902
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,30,8.02143712807132,5.270284693359391,10.772589562783248
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,30,7.642749612220091,7.091347832997838,8.194151391442345
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,30,8.263270636233084,6.3132878157917,10.213253456674469
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,30,7.224873807433877,5.330295787061442,9.11945182780631
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,30,7.4123120780446,6.272394134853284,8.552230021235916
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,31,7.393035932438421,6.961361524547371,7.824710340329471
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,31,7.55705023032431,6.960256181554932,8.153844279093688
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,31,6.586981538507774,5.137774338578642,8.036188738436907
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,31,7.952388352149134,5.365596078378797,10.539180625919473
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,31,7.617190795674398,7.0819279772216746,8.152453614127122
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,31,8.21770145368242,6.416995874228362,10.018407033136477
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,31,7.281138950361426,5.5064060877475,9.055871812975353
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,31,7.441274604822585,6.275385917451047,8.607163292194123
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,32,7.374178883698774,6.965370198602233,7.782987568795315
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,32,7.498459612372046,6.916260599217787,8.080658625526304
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,32,6.712765736523615,5.387304094686345,8.038227378360883
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,32,7.884787468435282,5.457393082634871,10.312181854235693
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,32,7.592151720365227,7.0712503268097064,8.11305311392075
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,32,8.173862886142752,6.515151460867838,9.832574311417666
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,32,7.334827062358019,5.675568181659275,8.994085943056763
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,32,7.468125206085739,6.277556711033823,8.658693701137656
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,33,7.355801441434947,6.967793545595546,7.743809337274348
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,33,7.442985099918599,6.8717661284777964,8.014204071359401
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,33,6.83180446958271,5.606223221158816,8.057385718006604
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,33,7.818634476929763,5.545583455986637,10.091685497872888
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,33,7.567632386292579,7.059452381165855,8.075812391419303
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,33,8.131754933614081,6.607573061284705,9.655936805943458
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,33,7.385938143423656,5.837687319888614,8.934188966958699
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,33,7.492863881834058,6.279359537288874,8.706368226379242
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,34,7.3379036056469396,6.968600857740109,7.707206353553771
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,34,7.39062669296397,6.8271577781991635,7.954095607728776
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,34,6.944097737685061,5.793832017378969,8.094363457991152
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,34,7.753929377632579,5.630056975705717,9.87780177955944
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,34,7.543632793456454,7.046683229229792,8.040582357683116
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,34,8.091377596096404,6.694034847260867,9.48872034493194
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,34,7.4344721935583395,5.992650673617,8.87629371349968
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,34,7.515490632067545,6.281164441072293,8.749816823062798
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,35,7.320485376334751,6.9677753896845935,7.673195362984908
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,35,7.341384391508158,6.782858794423893,7.899909988592423
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,35,7.049645540830666,5.950491442577244,8.148799639084089
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,35,7.690672170543727,5.7106812007384296,9.670663140349024
